Round,Module,Stacked Status,Variable Pair,Long Form Variable Name,Variable Label,Link Grad
R4,Psychological,paired,mn006rer/np006rer,z_mn006rer,R4 To what extent do you agree that you often change your mind about decisions if your friends or family disagree?,module=mpsyc
R4,Psychological,paired,mn007rer/np007rer,z_mn007rer,"R4 To what extent do you agree that you are not afraid to voice your opinions, even when they are in opposition to the opinions of most people?",module=mpsyc
R4,Psychological,paired,mn008rer/np008rer,z_mn008rer,R4 To what extent do you agree that being happy with yourself is more important to you than having others approve of you?,module=mpsyc
R4,Psychological,paired,mn009rer/np009rer,z_mn009rer,R4 To what extent do you agree that it's difficult for you to voice your opinions on controversial matters?,module=mpsyc
R4,Psychological,paired,mn010rec/np010rec,z_mn010rec,R4 Summary score for environmental mastery.,module=mpsyc
R4,Psychological,paired,mn010rei/np010rei,z_mn010rei,"R4 Summary score for environmental mastery, mean of valid items substituted for missing items.",module=mpsyc
R4,Psychological,paired,mn011re/np011re,z_mn011re,R4 Number of environmental mastery items answered.,module=mpsyc
R4,Psychological,paired,mn012rer/np012rer,z_mn012rer,R4 To what extent do you agree that you are good at juggling your time so that you can fit everything in that needs to get done?,module=mpsyc
R4,Psychological,paired,mn013rer/np013rer,z_mn013rer,R4 To what extent do you agree that you often feel overwhelmed by your responsibilities?,module=mpsyc
R4,Psychological,paired,mn014rer/np014rer,z_mn014rer,R4 To what extent do you agree that you are quite good at managing the many responsibilities of your daily life?,module=mpsyc
R4,Psychological,paired,mn015rer/np015rer,z_mn015rer,R4 To what extent do you agree that you do not fit very well with the people and community around you?,module=mpsyc
R4,Psychological,paired,mn016rer/np016rer,z_mn016rer,R4 To what extent do you agree that you have difficulty arranging your life in a way that is satisfying to you?,module=mpsyc
R4,Psychological,paired,mn017rer/np017rer,z_mn017rer,R4 To what extent do you agree that you have been able to create a lifestyle for yourself that is much to your liking?,module=mpsyc
R4,Psychological,paired,mn018rer/np018rer,z_mn018rer,R4 To what extent do you agree that you generally do a good job of taking care of your personal finances and affairs?,module=mpsyc
R4,Psychological,paired,mn019rec/np019rec,z_mn019rec,R4 Summary score for personal growth.,module=mpsyc
R4,Psychological,paired,mn019rei/np019rei,z_mn019rei,"R4 Summary score for personal growth, mean of valid items substituted for missing items.",module=mpsyc
R4,Psychological,paired,mn020re/np020re,z_mn020re,R4 Number of personal growth items answered.,module=mpsyc
R4,Psychological,paired,mn021rer/np021rer,z_mn021rer,R4 To what extent do you agree that you are not interested in activities that will expand your horizons?,module=mpsyc
R4,Psychological,paired,mn022rer/np022rer,z_mn022rer,R4 To what extent do you agree that you have the sense that you have developed a lot as a person over time?,module=mpsyc
R4,Psychological,paired,mn023rer/np023rer,z_mn023rer,R4 To what extent do you agree that when you think about it you haven't really improved much as a person over the years?,module=mpsyc
R4,Psychological,paired,mn024rer/np024rer,z_mn024rer,R4 To what extent do you agree that you think it is important to have new experiences that challenge how you think about yourself and the world?,module=mpsyc
R4,Psychological,paired,mn025rer/np025rer,z_mn025rer,"R4 To what extent do you agree that you don't want to try new ways of doing things, i.e. your life is fine the way it is?",module=mpsyc
R4,Psychological,paired,mn026rer/np026rer,z_mn026rer,R4 To what extent do you agree that you do not enjoy being in new situations that require you to change your old familiar ways of doing things?,module=mpsyc
R4,Psychological,paired,mn027rer/np027rer,z_mn027rer,R4 To what extent do you agree that there is truth to the saying you can't teach an old dog new tricks?,module=mpsyc
R4,Psychological,paired,mn028rec/np028rec,z_mn028rec,R4 Summary score for positive relation to others.,module=mpsyc
R4,Psychological,paired,mn028rei/np028rei,z_mn028rei,"R4 Summary score for positive relation to others, mean of valid items substituted for missing items.",module=mpsyc
R4,Psychological,paired,mn029re/np029re,z_mn029re,R4 Number of positive relation to others items answered.,module=mpsyc
R4,Psychological,paired,mn030rer/np030rer,z_mn030rer,R4 To what extent do you agree that you don't have many people who want to listen when you need to talk?,module=mpsyc
R4,Psychological,paired,mn031rer/np031rer,z_mn031rer,R4 To what extent do you agree that you enjoy personal and mutual conversations with family members and friends?,module=mpsyc
R4,Psychological,paired,mn032rer/np032rer,z_mn032rer,R4 To what extent do you agree that you often feel lonely because you have few close friends with whom to share your concerns?,module=mpsyc
R4,Psychological,paired,mn033rer/np033rer,z_mn033rer,R4 To what extent do you agree that it seems to you that most other people have more friends than you do?,module=mpsyc
R4,Psychological,paired,mn034rer/np034rer,z_mn034rer,"R4 To what extent do you agree that people would describe you as a giving person, willing to share your time with others?",module=mpsyc
R4,Psychological,paired,mn035rer/np035rer,z_mn035rer,R4 To what extent do you agree that most people see you as loving and affectionate?,module=mpsyc
R4,Psychological,paired,mn036rer/np036rer,z_mn036rer,"R4 To what extent do you agree that you know you can trust your friends, and they know they can trust you?",module=mpsyc
R4,Psychological,paired,mn037rec/np037rec,z_mn037rec,R4 Summary score for purpose in life.,module=mpsyc
R4,Psychological,paired,mn037rei/np037rei,z_mn037rei,"R4 Summary score for purpose in life, mean of valid items substituted for missing items.",module=mpsyc
R4,Psychological,paired,mn038re/np038re,z_mn038re,R4 Number of purpose in life items answered.,module=mpsyc
R4,Psychological,paired,mn039rer/np039rer,z_mn039rer,R4 To what extent do you agree that you enjoy making plans for the future and working to make them a reality?,module=mpsyc
R4,Psychological,paired,mn040rer/np040rer,z_mn040rer,R4 To what extent do you agree that your daily activities often seem trivial and unimportant to you?,module=mpsyc
R4,Psychological,paired,mn041rer/np041rer,z_mn041rer,R4 To what extent do you agree that you are an active person in carrying out the plans you set for yourself?,module=mpsyc
R4,Psychological,paired,mn042rer/np042rer,z_mn042rer,"R4 To what extent do you agree that you tend to focus on the present, because the future nearly always brings you problems?",module=mpsyc
R4,Psychological,paired,mn043rer/np043rer,z_mn043rer,R4 To what extent do you agree that you don't have a good sense of what it is you are trying to accomplish in life?,module=mpsyc
R4,Psychological,paired,mn044rer/np044rer,z_mn044rer,R4 To what extent do you agree that you sometimes feel as if you've done all there is to do in life?,module=mpsyc
R4,Psychological,paired,mn045rer/np045rer,z_mn045rer,"R4 To what extent do you agree that you used to set goals for yourself, but that now seems like a waste of time?",module=mpsyc
R4,Psychological,paired,mn046rec/np046rec,z_mn046rec,R4 Summary score for self-acceptance.,module=mpsyc
R4,Psychological,paired,mn046rei/np046rei,z_mn046rei,"R4 Summary score for self-acceptance, mean of valid items substituted for missing items.",module=mpsyc
R4,Psychological,paired,mn047re/np047re,z_mn047re,R4 Number of self-acceptance items answered.,module=mpsyc
R4,Psychological,paired,mn048rer/np048rer,z_mn048rer,R4 To what extent do you agree that you feel like many of the people you know have gotten more out of life than you have?,module=mpsyc
R4,Psychological,paired,mn049rer/np049rer,z_mn049rer,"R4 To what extent do you agree that, in general, you feel confident and positive about yourself?",module=mpsyc
R4,Psychological,paired,mn050rer/np050rer,z_mn050rer,"R4 To what extent do you agree that when you compare yourself to friends and acquaintances, it makes you feel good about who you are?",module=mpsyc
R4,Psychological,paired,mn051rer/np051rer,z_mn051rer,R4 To what extent do you agree that your attitude about yourself is probably not as positive as most people feel about themselves?,module=mpsyc
R4,Psychological,paired,mn052rer/np052rer,z_mn052rer,"R4 To what extent do you agree that you made some mistakes in the past, but you feel that all in all everything has worked out for the best?",module=mpsyc
R4,Psychological,paired,mn053rer/np053rer,z_mn053rer,"R4 To what extent do you agree that the past had its ups and downs, but in general, you wouldn't want to change it?",module=mpsyc
R4,Psychological,paired,mn054rer/np054rer,z_mn054rer,"R4 To what extent do you agree that, in many ways, you feel disappointed about your achievements in life?",module=mpsyc
R4,Psychological,paired,mn055rec/np055rec,z_mn055rec,R4 Summary score for Brandstadter flexible goal adjustment scale.,module=mpsyc
R4,Psychological,paired,mn055rei/np055rei,z_mn055rei,"R4 Summary score for Brandstadter flexible goal adjustment scale, mean substituted for missing components.",module=mpsyc
R4,Psychological,paired,mn056re/np056re,z_mn056re,R4 Number of Brandstadter flexible goal adjustment questions answered.,module=mpsyc
R4,Psychological,paired,mn057rer/np057rer,z_mn057rer,"R4 To what extent do you agree that if you don't get something you want, you take it with patience?",module=mpsyc
R4,Psychological,paired,mn058rer/np058rer,z_mn058rer,R4 To what extent do you agree that it is very difficult for you to accept a setback or defeat?,module=mpsyc
R4,Psychological,paired,mn059rer/np059rer,z_mn059rer,R4 To what extent do you agree that you find it easy to see something positive even in a serious mishap?,module=mpsyc
R4,Psychological,paired,mn060rer/np060rer,z_mn060rer,"R4 To what extent do you agree that when everything seems to be going wrong, you can usually find a bright side to a situation?",module=mpsyc
R4,Psychological,paired,mn061rer/np061rer,z_mn061rer,"R4 To what extent do you agree that, in general, you are not upset very long about an opportunity passed up?",module=mpsyc
R4,Psychological,paired,mn062rec/np062rec,z_mn062rec,R4 Summary score for Brandstadter Tenacious Goal Pursuit measure.,module=mpsyc
R4,Psychological,paired,mn062rei/np062rei,z_mn062rei,"R4 Summary score for Brandstadter Tenacious Goal Pursuit measure, mean substituted for missing components.",module=mpsyc
R4,Psychological,paired,mn063re/np063re,z_mn063re,R4 Number of Brandstadter Tenacious Goal Pursuit items answered.,module=mpsyc
R4,Psychological,paired,mn064rer/np064rer,z_mn064rer,"R4 To what extent do you agree that even when things seem hopeless, you keep on fighting to reach your goals?",module=mpsyc
R4,Psychological,paired,mn065rer/np065rer,z_mn065rer,R4 To what extent do you agree that you stick to your goals and projects even in the face of great difficulties?,module=mpsyc
R4,Psychological,paired,mn066rer/np066rer,z_mn066rer,"R4 To what extent do you agree that the harder a goal is to achieve, the more appeal it has to you?",module=mpsyc
R4,Psychological,paired,mn067rer/np067rer,z_mn067rer,R4 To what extent do you agree that you can be very stubborn in pursuing your goals?,module=mpsyc
R4,Psychological,paired,mn068rer/np068rer,z_mn068rer,"R4 To what extent do you agree that to avoid disappointments, you don't set your goals too high?",module=mpsyc
R5,Summary,paired,ga003re/ca003re,z_ga003re,R5 Respondent's age at time of interview,module=gbeg1
R5,Summary,paired,ga007re/ca007re,z_ga007re,R5 First unanswered question in Q file for partial phone completes.,module=gbeg1
R5,Summary,paired,ga009re/ca009re,z_ga009re,R5 Was this interview conducted by a CAPI instrument?,module=gbeg1
R5,Summary,paired,ga016rem/ca016rem,z_ga016rem,R5 Month Respondent completed telephone interview.,module=gbeg1
R5,Summary,paired,ga016red/ca016red,z_ga016red,R5 Day Respondent completed telephone interview.,module=gbeg1
R5,Summary,paired,ga016rey/ca016rey,z_ga016rey,R5 Year Respondent completed telephone interview.,module=gbeg1
R5,Summary,paired,ga020re/ca020re,z_ga020re,R5 State of  Respondent's residence at time of 200X interview.,module=gbeg1
R5,Summary,paired,gaa22re/caa22re,z_gaa22re,R5 Does R reside at another home for at least 2 months of the year?,module=gbeg1
R5,Summary,paired,gaa23re/caa23re,z_gaa23re,R5 State of seasonal residence.,module=gbeg1
R5,Summary,paired,ga029re/ca029re,z_ga029re,R5 Date Respondent's telephone interview was delivered to WLS from UWSC.,module=gbeg1
R5,Summary,paired,ga030re/ca030re,z_ga030re,R5 Number of sessions completed between R and Interviewer.,module=gbeg1
R5,Summary,paired,ga223re/ca223re,z_ga223re,R5 Number of calls interviewer talked to someone.,module=gbeg1
R5,Summary,paired,ga233re/ca233re,z_ga233re,"R5 Number of calls busy, etc.",module=gbeg1
R5,Summary,paired,ga234re/ca234re,z_ga234re,R5 Number of calls where machine answered.,module=gbeg1
R5,Summary,paired,ga235re/ca235re,z_ga235re,R5 Number of calls where machine answered and interviewer left a message.,module=gbeg1
R5,Summary,paired,ga236re/ca236re,z_ga236re,R5 Time in seconds to complete  telephone interview in 200X.,module=gbeg1
R5,Summary,paired,ga300re/ca300re,z_ga300re,R5 Total number of attempted contacts with  respondent.,module=gbeg1
R5,Summary,paired,ga910re/ca910re,z_ga910re,R5 Quality of Match code for 200X address (from APL),module=gbeg1
R5,Summary,grad only,ga006re,ga006re,R5 Did Graduate Respondent complete the entire phone interview in 2003-05 or partial?,module=gbeg1
R5,Summary,grad only,ga008re,ga008re,R5 Module of first unanswered question for partial phone interviews.,module=gbeg1
R5,Summary,grad only,ga901rp,ga901rp,R5 Is this Graduate Respondent married to another graduate who is also in the 1/3 sample?,module=gbeg1
R5,Summary,grad only,ga902rp,ga902rp,R5 IDPRIV of graduate referenced in ga901rp.,module=gbeg1
R5,Summary,grad only,ga903rs,ga903rs,R5 Is this Graduate Respondent married to another selected sibling from the wls sample?,module=gbeg1
R5,Summary,grad only,ga904rs,ga904rs,R5 IDPRIV of sibling referenced in ga903rs.,module=gbeg1
R5,Summary,sib only,ca006re,ca006re,R5 Did Sibling Respondent complete the entire phone interview in 2005 or partial?,NA
R5,Summary,sib only,ca008re,ca008re,R5 Module of first unanswered question for partial phone interviews.,NA
R5,Summary,sib only,ca019re,ca019re,R5 ID number of last interviewer for Sibling Respondent in 2005.,NA
R5,Siblings,paired,gk069s/ck069s,z_gk069s,R5 Did you grow up with any brothers or sisters who had a disability or mental illness?,module=gsib
R5,Siblings,paired,gk001ss/ck001ss,z_gk001ss,R5 Mortality status of (reciprocal) selected sibling.,module=gsib
R5,Siblings,paired,gk002ssc/ck002ssc,z_gk002ssc,R5 Year of selected sibling's death.,module=gsib
R5,Siblings,paired,gk008ssc/ck008ssc,z_gk008ssc,R5 Detailed ICD-9 cause of selected sibling's death.,module=gsib
R5,Siblings,paired,gka08ssc/cka08ssc,z_gka08ssc,R5 Collapsed ICD-9 cause of selected sibling's death.,module=gsib
R5,Siblings,paired,gk009ssc/ck009ssc,z_gk009ssc,R5 Was there a kind of work deceased selected sibling usually did?,module=gsib
R5,Siblings,paired,gku12sse/cku12sse,z_gku12sse,R5 Class of worker for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk019sse/ck019sse,z_gk019sse,R5 1990 Census detailed industry code for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk020sse/ck020sse,z_gk020sse,R5 1990 Census detailed occupation code for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk021sse/ck021sse,z_gk021sse,R5 1990 Major industry code for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk022sse/ck022sse,z_gk022sse,R5 1990 Major occupation code for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk023sse/ck023sse,z_gk023sse,R5 1989 Nakao-Treas Prestige Rating for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk024sse/ck024sse,z_gk024sse,R5 1990 Occupational Education Score for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk025sse/ck025sse,z_gk025sse,R5 1990 Occupational Income Score for deceased selected sibling's last job.,module=gsib
R5,Siblings,paired,gk027ssc/ck027ssc,z_gk027ssc,R5 Year deceased selected sibling stopped working at this job.,module=gsib
R5,Siblings,paired,gk034ssd/ck034ssd,z_gk034ssd,R5 Selected sibling's marital status.,module=gsib
R5,Siblings,paired,gk036ssd/ck036ssd,z_gk036ssd,R5 Selected sibling's current work status.,module=gsib
R5,Siblings,paired,gk077ss/ck077ss,z_gk077ss,R5 Estimated driving miles between respondent and selected sibling at the time of the 200x interview (from APL),module=gsib
R5,Siblings,paired,gk057ssd/ck057ssd,z_gk057ssd,R5 Frequency of contact with selected sibling during the last 12 months.,module=gsib
R5,Siblings,paired,gk058sse/ck058sse,z_gk058sse,R5 Unit for frequency of contact with selected sibling.,module=gsib
R5,Siblings,paired,gk059ssf/ck059ssf,z_gk059ssf,R5 Number of times in last 12 months you had contact with your selected sibling.,module=gsib
R5,Siblings,paired,gk060ssg/ck060ssg,z_gk060ssg,R5 In what year did you last see the selected sibling.,module=gsib
R5,Siblings,paired,gk061ssd/ck061ssd,z_gk061ssd,"R5 In terms of a general outlook on life, do respondent and selected sibling share similar views?",module=gsib
R5,Siblings,paired,gk062ssd/ck062ssd,z_gk062ssd,R5 How close does respondent feel towards selected sibling?,module=gsib
R5,Siblings,paired,gk063ssd/ck063ssd,z_gk063ssd,R5 How have you done compared to your selected sibling in terms of education?,module=gsib
R5,Siblings,paired,gk064ssd/ck064ssd,z_gk064ssd,R5 How have you done compared to your selected sibling in terms of work?,module=gsib
R5,Siblings,paired,gk065ssd/ck065ssd,z_gk065ssd,R5 How have you done compared to your selected sibling financially?,module=gsib
R5,Siblings,grad only,gk067ss,gk067ss,R5 Total number of siblings ever born.,module=gsib
R5,Siblings,grad only,gk068sc,gk068sc,R5 How many of your siblings are currently alive?,module=gsib
R5,Siblings,grad only,gk070s,gk070s,R5 Did you grow up with any brothers or sisters who are no longer living?,module=gsib
R5,Siblings,grad only,gk071re,gk071re,R5 Respondent position in sib table.,module=gsib
R5,Siblings,grad only,gk072se,gk072se,R5 Selected sibling's position in sib table.,module=gsib
R5,Siblings,grad only,gk073re,gk073re,R5 Total number of entries in the sib roster that follows; includes respondent & siblings in order from oldest to youngest,module=gsib
R5,Siblings,grad only,gk0291,gk0291,R5 Gender of oldest sibling.,module=gsib
R5,Siblings,grad only,gk1301,gk1301,R5 Year of oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1311,gk1311,R5 Year oldest sibling was added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1321,gk1321,R5 Roster ID of oldest sibling.,module=gsib
R5,Siblings,grad only,gk1331,gk1331,R5 Entity number of oldest sibling.,module=gsib
R5,Siblings,grad only,gk0011,gk0011,R5 Mortality status of oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0021,gk0021,R5 Year of oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0051,gk0051,R5 Age of oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0081,gk0081,R5 Detailed ICD-9 cause of oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka081,gka081,R5 Collapsed ICD-9 cause of oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0821,gk0821,R5 Education of oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0831,gk0831,R5 Year education in of oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0292,gk0292,R5 Gender of 2nd oldest sibling.,module=gsib
R5,Siblings,grad only,gk1302,gk1302,R5 Year of 2nd oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1312,gk1312,R5 Year 2nd oldest sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1322,gk1322,R5 Roster ID of 2nd oldest sibling.,module=gsib
R5,Siblings,grad only,gk1332,gk1332,R5 Entity number of 2nd oldest sibling.,module=gsib
R5,Siblings,grad only,gk0012,gk0012,R5 Mortality status of 2nd oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0022,gk0022,R5 Year of 2nd oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0052,gk0052,R5 Age of 2nd oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0082,gk0082,R5 Detailed ICD-9 cause of 2nd oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka082,gka082,R5 Collapsed ICD-9 cause of 2nd oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0822,gk0822,R5 Education of 2nd oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0832,gk0832,R5 Year education of 2nd oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0293,gk0293,R5 Gender of 3rd oldest sibling.,module=gsib
R5,Siblings,grad only,gk1303,gk1303,R5 Year of 3rd oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1313,gk1313,R5 Year 3rd oldest sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1323,gk1323,R5 Roster ID of 3rd oldest sibling.,module=gsib
R5,Siblings,grad only,gk1333,gk1333,R5 Entity number of 3rd oldest sibling.,module=gsib
R5,Siblings,grad only,gk0013,gk0013,R5 Mortality status of 3rd oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0023,gk0023,R5 Year of 3rd oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0053,gk0053,R5 Age of 3rd oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0083,gk0083,R5 Detailed ICD-9 cause of 3rd oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka083,gka083,R5 Collapsed ICD-9 cause of 3rd oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0823,gk0823,R5 Education of 3rd oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0833,gk0833,R5 Year education of 3rd oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0294,gk0294,R5 Gender of 4th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1304,gk1304,R5 Year of 4th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1314,gk1314,R5 Year 4th oldest sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1324,gk1324,R5 Roster ID of 4th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1334,gk1334,R5 Entity number of 4th oldest sibling.,module=gsib
R5,Siblings,grad only,gk0014,gk0014,R5 Mortality status of 4th oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0024,gk0024,R5 Year of 4th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0054,gk0054,R5 Age of 4th oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0084,gk0084,R5 Detailed ICD-9 cause of 4th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka084,gka084,R5 Collapsed ICD-9 cause of 4th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0824,gk0824,R5 Education of 4th oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0834,gk0834,R5 Year education of 4th oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0295,gk0295,R5 Gender of 5th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1305,gk1305,R5 Year of 5th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1315,gk1315,R5 Year 5th oldest sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1325,gk1325,R5 Roster ID of 5th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1335,gk1335,R5 Entity number of 5th oldest sibling.,module=gsib
R5,Siblings,grad only,gk0015,gk0015,R5 Mortality status of 5th oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0025,gk0025,R5 Year of 5th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0055,gk0055,R5 Age of 5th oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0085,gk0085,R5 Detailed ICD-9 cause of 5th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka085,gka085,R5 Collapsed ICD-9 cause of 5th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0825,gk0825,R5 Education of 5th oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0835,gk0835,R5 Year education of 5th oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0296,gk0296,R5 Gender of 6th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1306,gk1306,R5 Year of 6th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1316,gk1316,R5 Year 6th sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1326,gk1326,R5 Roster ID of 6th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1336,gk1336,R5 Entity number of 6th oldest sibling.,module=gsib
R5,Siblings,grad only,gk0016,gk0016,R5 Mortality status of 6th oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0026,gk0026,R5 Year of 6th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0056,gk0056,R5 Age of 6th oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0086,gk0086,R5 Detailed ICD-9 cause of 6th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka086,gka086,R5 Collapsed ICD-9 cause of 6th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0826,gk0826,R5 Education of 6th oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0836,gk0836,R5 Year education of 6th oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0297,gk0297,R5 Gender of 7th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1307,gk1307,R5 Year of 7th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1317,gk1317,R5 Year 7th sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1327,gk1327,R5 Roster ID of 7th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1337,gk1337,R5 Entity number of 7th oldest sibling.,module=gsib
R5,Siblings,grad only,gk0017,gk0017,R5 Mortality status of 7th oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0027,gk0027,R5 Year of 7th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0057,gk0057,R5 Age of 7th oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0087,gk0087,R5 Detailed ICD-9 cause of 7th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka087,gka087,R5 Collapsed ICD-9 cause of 7th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0827,gk0827,R5 Education of 7th oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0837,gk0837,R5 Year education of 7th oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0298,gk0298,R5 Gender of 8th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1308,gk1308,R5 Year of 8th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1318,gk1318,R5 Year 8th sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1328,gk1328,R5 Roster ID of 8th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1338,gk1338,R5 Entity number of 8th oldest sibling.,module=gsib
R5,Siblings,grad only,gk0018,gk0018,R5 Mortality status of 8th oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0028,gk0028,R5 Year of 8th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0058,gk0058,R5 Age of 8th oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0088,gk0088,R5 Detailed ICD-9 cause of 8th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka088,gka088,R5 Collapsed ICD-9 cause of 8th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0828,gk0828,R5 Education of 8th oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0838,gk0838,R5 Year education of 8th oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk0299,gk0299,R5 Gender of 9th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1309,gk1309,R5 Year of 9th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk1319,gk1319,R5 Year 9th sibling added to sibling roster.,module=gsib
R5,Siblings,grad only,gk1329,gk1329,R5 Roster ID of 9th oldest sibling.,module=gsib
R5,Siblings,grad only,gk1339,gk1339,R5 Entity number of 9th oldest sibling.,module=gsib
R5,Siblings,grad only,gk0019,gk0019,R5 Mortality status of 9th oldest sibling at time of 2004 interview.,module=gsib
R5,Siblings,grad only,gk0029,gk0029,R5 Year of 9th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0059,gk0059,R5 Age of 9th oldest sibling at time of death.,module=gsib
R5,Siblings,grad only,gk0089,gk0089,R5 Detailed ICD-9 cause of 9th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gka089,gka089,R5 Collapsed ICD-9 cause of 9th oldest sibling's death.,module=gsib
R5,Siblings,grad only,gk0829,gk0829,R5 Education of 9th oldest sibling at time of last interview.,module=gsib
R5,Siblings,grad only,gk0839,gk0839,R5 Year education of 9th oldest sibling was ascertained.,module=gsib
R5,Siblings,grad only,gk02910,gk02910,R5 Gender of 10th oldest sibling.,module=gsib
R5,Siblings,grad only,gk13010,gk13010,R5 Year of 10th oldest sibling's birth.,module=gsib
R5,Siblings,grad only,gk13110,gk13110,R5 Year 10th sibling added to sibling roster.,module=gsib
